In-text citation (APA 7),Title,Year,Venue,Peer-reviewed,Domain,Design,Reliability metric,Reported value,"Relevance to 70.1% / 5,084-claim corpus",DOI
Mao (2026),Historical Backtesting for Scientific Question Discovery: A Protocol and Astronomy Pilot,2026,arXiv,No (preprint),Astronomy research-question assessment,"7 raters (2 blinded humans, 5 judge models), 90 items",Cohen's kappa,two careful humans agree at kappa = 0.17; every judge model matches the professional annotator as well or better (0.17-0.26),Human ceiling in scientific-merit judgement is itself very low - directly reframes a high machine disagreement rate,10.48550/arXiv.2608.16795
Modgil (2026),The Saturation Trap and the Subjectivity of Intervention Timing: Why Affect-Based Triggers and LLM Judges Fail to Time Interventions on Autonomous Agents,2026,arXiv (Cornell University),No (preprint),Agent intervention timing,"3 trained annotators, one rubric, 56-action trajectory",Krippendorff's alpha; Cohen's kappa,location Krippendorff's alpha = +0.047; best pairwise Cohen's kappa = +0.349,"Documents a construct on which trained humans agree barely above chance - an instrument-validity failure, not a judge failure",10.48550/arXiv.2606.04296
Yagubyan (2026),The Coin Flip Judge? Reliability and Bias in LLM-as-a-Judge Evaluation,2026,arXiv (Cornell University),No (preprint),Open-ended QA,"Multi-judge, repeated runs, prompt paraphrases",Cross-judge agreement; preference flip rate,"cross-judge agreement 76% (kappa = 0.51); preferences flip 13.6% on average, 28% of questions exceed 20% flip, max 56%; paraphrase changes majority in 25% of cases",Closest direct analogue: reports both between-judge disagreement (24%) and within-judge instability separately,10.48550/arXiv.2606.13685
Wang et al. (2026),Time to REFLECT: Can We Trust LLM Judges for Evidence-based Research Agents?,2026,arXiv,No (preprint),Evidence-based research agents,"Judges scored on reasoning, tool-use, report-quality failures",Overall accuracy,"best models below 55%, worst on evidence verification",Nearest task match to research-claim verification; near-chance judge accuracy,10.48550/arxiv.2605.19196
Z. Chen et al. (2026),Ideation Arena: Evaluating LLM Generated Research Ideas with Battle-style Human Expert Assessment,2026,arXiv,No (preprint),LLM-generated research ideas,Battle-style expert assessment,Soft accuracy vs expert preference,best judge 72.56% on overall quality,Research-merit judging ceiling of ~73% agreement with experts,10.48550/arxiv.2608.29696
Ravideshik & Kejriwal (2026),Can AI Evaluate AI Scientists? A Benchmarking Study of Autonomous Research Generation Systems Using Automated Multi-Model Review,2026,arXiv,No (preprint),Autonomous research-generation systems,"3 LLM reviewers (GPT-5.4, Gemini, Claude); 60 generated papers + 15 benchmark papers; 4 dimensions",Spearman's rho,Gemini-Claude rho = 0.907 (p < .001); GPT-5.4 rho ~ 0.32,Judge-family divergence in automated research verdicts - disagreement is dominated by which judges are paired,10.13140/rg.2.2.27158.31045
Zhao et al. (2026),LitReview Arena: Evaluating Literature Review Agents with Battle-Style Peer Review Platform,2026,arXiv,No (preprint),Literature-review agents,"~3k expert judgments, 5 literature-review criteria, battle-style protocol",Spearman's rho,"existing LLM judges rho = 0.467 vs experts; calibrated LitJudge rho = 0.78, comparable to inter-expert consistency",Automated research assessment analogue; calibration recovers agreement to the human-human level,10.48550/arxiv.2608.21374
Pisupati et al. (2026),Counsel: A Meta-Evaluation Dataset for Agentic Tasks,2026,arXiv,No (preprint),Agentic task critique,Human annotators + open-weight judges,Krippendorff's alpha; judge-human agreement,"human inter-annotator Krippendorff's alpha = 0.78; strongest judge ~88% agreement on error location, ~65% on reasoning quality",Agreement splits sharply by sub-construct - location vs reasoning gap of ~23 pp,10.48550/arXiv.2606.21627
Fernandes et al. (2026),NormasTCU --- A Brazilian Portuguese IR Dataset and an Evaluation of LLM-as-a-Judge for Relevance Assessment,2026,arXiv,No (preprint),Portuguese legal IR relevance,LLM vs human relevance assessors,Cohen's kappa; Kendall's tau,pair-level kappa 0.32-0.53 (fair to moderate); system rankings still Kendall's tau >= 0.90 for nDCG@10 and MRR,Rank-preservation despite item-level disagreement - the argument that a 70.1% rate may not invalidate aggregate conclusions,10.48550/arXiv.2608.27746
J. Chen et al. (2026),A Judge Should Know What Changed:Construct Validity for LLM-as-a-Judge Evaluation,2026,arXiv,No (preprint),Construct validity audit,5 public label sets,Sensitivity/robustness; label reproducibility,"at matched invariance S >= 0.90, judges average S = 0.945 but R = 0.319; surface-only predictors reproduce 55-67% of labels, incl. 67.4% of MT-Bench human votes","Shows a large share of 'agreement' is surface-form artefact, not construct agreement",10.48550/arXiv.2608.24419
Verma et al. (2026),AgentJudgeBench: A Multi-Difficulty Benchmark for Evaluating LLM Judges on Agentic Tool-Calling,2026,arXiv,No (preprint),Agentic tool-calling,"6 judges, multi-difficulty",Judge-human alignment,on hard queries without ground truth all six judges converge to a 77-82% band regardless of scale,Structural ceiling driven by task difficulty rather than judge capacity,10.48550/arXiv.2608.26623
Roytburg et al. (2026),Are LLM Evaluators Really Narcissists? Sanity Checking Self-Preference Evaluations,2026,arXiv,No (preprint),Self-preference re-analysis,Re-analysis of prior self-preference findings,Statistical significance retention,only 51% of examples retain significance against an evaluator-quality null; covering 89.6% of self-preference probability mass,Cautionary re-analysis: much reported judge bias does not survive a proper null,10.48550/arXiv.2601.22548
KC (2026),BabelJudge: Measuring LLM-as-a-Judge Reliability Across Languages and Agent Trajectories,2026,arXiv,No (preprint),Multilingual agent trajectories,Slot-order swap test,Order consistency,Swahili order consistency 0.480 (near-random),Consistency collapse concealed by accuracy - stratify the corpus by language,10.48550/arXiv.2606.22329
Zhou et al. (2026),"Lower-Resource, Higher Scores: Language Bias in LLM Evaluators",2026,arXiv,No (preprint),Multilingual safety evaluation,Evaluators across languages,Pairwise accuracy vs acceptance rate,above 90% pairwise accuracy yet up to 43% difference in acceptance rate across languages,Bias invisible to agreement metrics - argues disagreement rate alone is an incomplete instrument,10.48550/arXiv.2607.14480
Pombal et al. (2026),Self-Preference Bias in Rubric-Based Evaluation of Large Language Models,2026,arXiv,No (preprint),"IFEval, LiveCodeBench",Programmatically verifiable rubrics,Self-preference odds,judges more than 50% more likely to incorrectly mark a failed rubric satisfied when the output is their own,Self-preference survives fully objective rubrics - relevant if the corpus mixes judge and generator families,10.48550/arXiv.2604.06996
Lail & Markham (2026),On Cost-Effective LLM-as-a-Judge Improvement Techniques,2026,arXiv (Cornell University),No (preprint),RewardBench 2,"Ensemble, criteria injection, calibration, escalation",Judge accuracy,"up to 85.8%, +13.5 pp over baseline",Upper bound on cheap remediation of judge error,10.48550/arXiv.2604.13717
Mahmood et al. (2026),Rank Reversal in Multilingual LLM Judges: A Label-Free Double-Centering Calibrator,2026,arXiv,No (preprint),"M-RewardBench, 7 languages, 10,500 instances","M-RewardBench panel: 7 languages x 1,500 items = 10,500 instances, 5 evaluators",Panel agreement with human gold,"68.7% to 76.6% after calibration (+7.9 pp, 95% CI [6.0, 9.9])",Calibration gain achievable without new human labels,10.48550/arXiv.2608.22432
