space_id,band,orid,claim_idx,n_claims,in_pilot,rep1,rep2,archived,agree
Edd16/icml2026-NUDNFusCDu-repro,m=2,NUDNFusCDu,5,6,True,toy,toy,toy,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,NUDNFusCDu,6,6,True,inconclusive,inconclusive,inconclusive,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,bT6JcLswlW,1,6,True,toy,toy,toy,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,bT6JcLswlW,2,6,True,toy,toy,toy,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,bT6JcLswlW,3,6,True,toy,toy,inconclusive,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,bT6JcLswlW,4,6,True,toy,toy,toy,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,bT6JcLswlW,5,6,True,toy,toy,toy,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,bT6JcLswlW,6,6,True,toy,toy,toy,True
divaspoudel/repro-physics-from-video-identifiability,m=2,xrXxqLadvS,1,5,True,verified,verified,verified,True
divaspoudel/repro-physics-from-video-identifiability,m=2,xrXxqLadvS,2,5,True,verified,verified,verified,True
divaspoudel/repro-physics-from-video-identifiability,m=2,xrXxqLadvS,3,5,True,verified,verified,verified,True
divaspoudel/repro-physics-from-video-identifiability,m=2,xrXxqLadvS,4,5,True,verified,verified,verified,True
divaspoudel/repro-physics-from-video-identifiability,m=2,xrXxqLadvS,5,5,True,toy,toy,inconclusive,True
imcypr/O88FCPAPAj,m=2,O88FCPAPAj,1,5,True,toy,toy,toy,True
imcypr/O88FCPAPAj,m=2,O88FCPAPAj,2,5,True,inconclusive,inconclusive,inconclusive,True
imcypr/O88FCPAPAj,m=2,O88FCPAPAj,3,5,True,inconclusive,inconclusive,inconclusive,True
imcypr/O88FCPAPAj,m=2,O88FCPAPAj,4,5,True,inconclusive,inconclusive,inconclusive,True
imcypr/O88FCPAPAj,m=2,O88FCPAPAj,5,5,True,inconclusive,inconclusive,inconclusive,True
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,JiB2eXY8fT,1,5,True,toy,inconclusive,inconclusive,False
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,JiB2eXY8fT,2,5,True,toy,toy,toy,True
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,JiB2eXY8fT,3,5,True,toy,inconclusive,toy,False
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,JiB2eXY8fT,4,5,True,toy,inconclusive,inconclusive,False
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,JiB2eXY8fT,5,5,True,toy,inconclusive,toy,False
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,hGcJZQSgLo,1,5,True,toy,toy,inconclusive,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,hGcJZQSgLo,2,5,True,toy,toy,inconclusive,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,hGcJZQSgLo,3,5,True,toy,toy,inconclusive,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,hGcJZQSgLo,4,5,True,toy,toy,inconclusive,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,hGcJZQSgLo,5,5,True,toy,toy,inconclusive,True
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,emDhH9VFqm,1,6,True,verified,verified,verified,True
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,emDhH9VFqm,2,6,True,inconclusive,toy,inconclusive,False
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,emDhH9VFqm,3,6,True,falsified,verified,verified,False
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,emDhH9VFqm,4,6,True,verified,toy,verified,False
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,emDhH9VFqm,5,6,True,falsified,falsified,falsified,True
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,emDhH9VFqm,6,6,True,verified,verified,verified,True
jomasego/repro-temper-then-tilt,m=2,7Oc4ARFCTV,1,6,True,verified,verified,verified,True
jomasego/repro-temper-then-tilt,m=2,7Oc4ARFCTV,2,6,True,toy,toy,toy,True
jomasego/repro-temper-then-tilt,m=2,7Oc4ARFCTV,3,6,True,toy,toy,toy,True
jomasego/repro-temper-then-tilt,m=2,7Oc4ARFCTV,4,6,True,inconclusive,inconclusive,inconclusive,True
jomasego/repro-temper-then-tilt,m=2,7Oc4ARFCTV,5,6,True,inconclusive,verified,inconclusive,False
jomasego/repro-temper-then-tilt,m=2,7Oc4ARFCTV,6,6,True,inconclusive,inconclusive,inconclusive,True
bertfil/5PfEQzE9bf,m=2,5PfEQzE9bf,1,6,True,inconclusive,inconclusive,inconclusive,True
bertfil/5PfEQzE9bf,m=2,5PfEQzE9bf,2,6,True,inconclusive,inconclusive,inconclusive,True
bertfil/5PfEQzE9bf,m=2,5PfEQzE9bf,3,6,True,toy,toy,toy,True
bertfil/5PfEQzE9bf,m=2,5PfEQzE9bf,4,6,True,toy,toy,inconclusive,True
bertfil/5PfEQzE9bf,m=2,5PfEQzE9bf,5,6,True,inconclusive,inconclusive,inconclusive,True
bertfil/5PfEQzE9bf,m=2,5PfEQzE9bf,6,6,True,inconclusive,inconclusive,inconclusive,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3D0x8oxOYH,1,6,True,toy,toy,toy,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3D0x8oxOYH,2,6,True,toy,toy,toy,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3D0x8oxOYH,3,6,True,inconclusive,inconclusive,inconclusive,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3D0x8oxOYH,4,6,True,inconclusive,inconclusive,inconclusive,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3D0x8oxOYH,5,6,True,toy,toy,toy,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3D0x8oxOYH,6,6,True,verified,verified,toy,True
algorise/repro-realista-realistic-latent-adversarial-attacks-that-elicit-llm-hallucinations,m=2,53wE3EbrgK,1,3,False,toy,toy,toy,True
algorise/repro-realista-realistic-latent-adversarial-attacks-that-elicit-llm-hallucinations,m=2,53wE3EbrgK,2,3,False,inconclusive,inconclusive,inconclusive,True
algorise/repro-realista-realistic-latent-adversarial-attacks-that-elicit-llm-hallucinations,m=2,53wE3EbrgK,3,3,False,toy,toy,inconclusive,True
sugan04/ICML2026_87_repro,m=2,8WA5l5tjF6,1,4,False,inconclusive,falsified,inconclusive,False
sugan04/ICML2026_87_repro,m=2,8WA5l5tjF6,2,4,False,inconclusive,inconclusive,inconclusive,True
sugan04/ICML2026_87_repro,m=2,8WA5l5tjF6,3,4,False,toy,toy,toy,True
sugan04/ICML2026_87_repro,m=2,8WA5l5tjF6,4,4,False,toy,toy,toy,True
ProCreations/repro-infinite-dimensional-generative-diffusions-via-doob-s-h-transform,m=2,Iv2xle8uSv,1,5,False,toy,toy,verified,True
ProCreations/repro-infinite-dimensional-generative-diffusions-via-doob-s-h-transform,m=2,Iv2xle8uSv,2,5,False,toy,toy,verified,True
ProCreations/repro-infinite-dimensional-generative-diffusions-via-doob-s-h-transform,m=2,Iv2xle8uSv,3,5,False,toy,toy,verified,True
ProCreations/repro-infinite-dimensional-generative-diffusions-via-doob-s-h-transform,m=2,Iv2xle8uSv,4,5,False,toy,toy,verified,True
ProCreations/repro-infinite-dimensional-generative-diffusions-via-doob-s-h-transform,m=2,Iv2xle8uSv,5,5,False,toy,toy,verified,True
Edd16/icml2026-f0RjWJig9V-repro,m=2,f0RjWJig9V,1,6,False,inconclusive,toy,toy,False
Edd16/icml2026-f0RjWJig9V-repro,m=2,f0RjWJig9V,2,6,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-f0RjWJig9V-repro,m=2,f0RjWJig9V,3,6,False,toy,toy,toy,True
Edd16/icml2026-f0RjWJig9V-repro,m=2,f0RjWJig9V,4,6,False,toy,toy,toy,True
Edd16/icml2026-f0RjWJig9V-repro,m=2,f0RjWJig9V,5,6,False,toy,toy,toy,True
Edd16/icml2026-f0RjWJig9V-repro,m=2,f0RjWJig9V,6,6,False,inconclusive,inconclusive,inconclusive,True
ParetoOptimal/repro-frigid,m=2,wTgx7b2D9r,1,6,False,verified,verified,verified,True
ParetoOptimal/repro-frigid,m=2,wTgx7b2D9r,2,6,False,inconclusive,inconclusive,inconclusive,True
ParetoOptimal/repro-frigid,m=2,wTgx7b2D9r,3,6,False,toy,toy,inconclusive,True
ParetoOptimal/repro-frigid,m=2,wTgx7b2D9r,4,6,False,toy,toy,toy,True
ParetoOptimal/repro-frigid,m=2,wTgx7b2D9r,5,6,False,inconclusive,inconclusive,inconclusive,True
ParetoOptimal/repro-frigid,m=2,wTgx7b2D9r,6,6,False,inconclusive,inconclusive,inconclusive,True
avithal/repro-dronedino-towards-heterogeneous-routed-mixture-of-experts-for-drone-based,m=2,vPGmYeL1rG,1,2,False,toy,toy,inconclusive,True
avithal/repro-dronedino-towards-heterogeneous-routed-mixture-of-experts-for-drone-based,m=2,vPGmYeL1rG,2,2,False,falsified,falsified,toy,True
rcgp/repro-both-semantics-reconstruction-matter,m=2,UmlXZ4t44h,1,5,False,toy,toy,toy,True
rcgp/repro-both-semantics-reconstruction-matter,m=2,UmlXZ4t44h,2,5,False,inconclusive,inconclusive,inconclusive,True
rcgp/repro-both-semantics-reconstruction-matter,m=2,UmlXZ4t44h,3,5,False,inconclusive,inconclusive,inconclusive,True
rcgp/repro-both-semantics-reconstruction-matter,m=2,UmlXZ4t44h,4,5,False,inconclusive,inconclusive,inconclusive,True
rcgp/repro-both-semantics-reconstruction-matter,m=2,UmlXZ4t44h,5,5,False,inconclusive,inconclusive,inconclusive,True
nstp/repro-symmetry-reveals-layerwise-dynamics-how-transformers-perform-in-context-classi,m=2,fDMizWsNoG,1,5,False,verified,verified,verified,True
nstp/repro-symmetry-reveals-layerwise-dynamics-how-transformers-perform-in-context-classi,m=2,fDMizWsNoG,2,5,False,verified,verified,verified,True
nstp/repro-symmetry-reveals-layerwise-dynamics-how-transformers-perform-in-context-classi,m=2,fDMizWsNoG,3,5,False,toy,verified,inconclusive,False
nstp/repro-symmetry-reveals-layerwise-dynamics-how-transformers-perform-in-context-classi,m=2,fDMizWsNoG,4,5,False,inconclusive,inconclusive,inconclusive,True
nstp/repro-symmetry-reveals-layerwise-dynamics-how-transformers-perform-in-context-classi,m=2,fDMizWsNoG,5,5,False,inconclusive,inconclusive,inconclusive,True
SabaPivot/repro-tensorgalerkin,m=2,xpIUvw8ANa,1,4,False,falsified,falsified,falsified,True
SabaPivot/repro-tensorgalerkin,m=2,xpIUvw8ANa,2,4,False,verified,verified,verified,True
SabaPivot/repro-tensorgalerkin,m=2,xpIUvw8ANa,3,4,False,toy,toy,toy,True
SabaPivot/repro-tensorgalerkin,m=2,xpIUvw8ANa,4,4,False,toy,toy,toy,True
pranaysuyash/repro-paperbanana,m=2,FneePKFVHT,1,5,False,inconclusive,inconclusive,inconclusive,True
pranaysuyash/repro-paperbanana,m=2,FneePKFVHT,2,5,False,verified,verified,verified,True
pranaysuyash/repro-paperbanana,m=2,FneePKFVHT,3,5,False,toy,toy,inconclusive,True
pranaysuyash/repro-paperbanana,m=2,FneePKFVHT,4,5,False,inconclusive,inconclusive,inconclusive,True
pranaysuyash/repro-paperbanana,m=2,FneePKFVHT,5,5,False,toy,toy,toy,True
nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,m=2,IelAHU5MVz,1,6,False,verified,verified,verified,True
nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,m=2,IelAHU5MVz,2,6,False,toy,toy,toy,True
nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,m=2,IelAHU5MVz,3,6,False,toy,toy,toy,True
nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,m=2,IelAHU5MVz,4,6,False,toy,toy,toy,True
nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,m=2,IelAHU5MVz,5,6,False,toy,falsified,toy,False
nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,m=2,IelAHU5MVz,6,6,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-evAFxJXcrr-logbook,m=2,evAFxJXcrr,1,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-evAFxJXcrr-logbook,m=2,evAFxJXcrr,2,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-evAFxJXcrr-logbook,m=2,evAFxJXcrr,3,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-evAFxJXcrr-logbook,m=2,evAFxJXcrr,4,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-evAFxJXcrr-logbook,m=2,evAFxJXcrr,5,5,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-a86luANykT-repro,m=2,a86luANykT,1,4,False,toy,toy,toy,True
Edd16/icml2026-a86luANykT-repro,m=2,a86luANykT,2,4,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-a86luANykT-repro,m=2,a86luANykT,3,4,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-a86luANykT-repro,m=2,a86luANykT,4,4,False,inconclusive,inconclusive,inconclusive,True
rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,m=2,Zuews4ULW6,1,6,False,verified,toy,verified,False
rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,m=2,Zuews4ULW6,2,6,False,inconclusive,inconclusive,inconclusive,True
rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,m=2,Zuews4ULW6,3,6,False,verified,verified,verified,True
rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,m=2,Zuews4ULW6,4,6,False,verified,verified,verified,True
rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,m=2,Zuews4ULW6,5,6,False,verified,verified,verified,True
rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,m=2,Zuews4ULW6,6,6,False,toy,toy,inconclusive,True
abhishekkataria16/claim-EETUbVsG6X-logbook,m=2,EETUbVsG6X,1,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-EETUbVsG6X-logbook,m=2,EETUbVsG6X,2,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-EETUbVsG6X-logbook,m=2,EETUbVsG6X,3,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-EETUbVsG6X-logbook,m=2,EETUbVsG6X,4,5,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-EETUbVsG6X-logbook,m=2,EETUbVsG6X,5,5,False,inconclusive,inconclusive,inconclusive,True
erobinson/repro-aoeb-benchmarking-agent-oriented-multimodal-embeddings,m=2,mNOx4mKh3F,1,2,False,inconclusive,inconclusive,toy,True
erobinson/repro-aoeb-benchmarking-agent-oriented-multimodal-embeddings,m=2,mNOx4mKh3F,2,2,False,inconclusive,toy,inconclusive,False
Edd16/icml2026-ZEODIzlKwZ-repro,m=2,ZEODIzlKwZ,1,2,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-ZEODIzlKwZ-repro,m=2,ZEODIzlKwZ,2,2,False,inconclusive,inconclusive,inconclusive,True
ai-sherpa/recursive-binding-subspace-carving-repro,m=2,Oc5d0gsRTs,1,5,False,toy,verified,verified,False
ai-sherpa/recursive-binding-subspace-carving-repro,m=2,Oc5d0gsRTs,2,5,False,verified,verified,verified,True
ai-sherpa/recursive-binding-subspace-carving-repro,m=2,Oc5d0gsRTs,3,5,False,verified,verified,verified,True
ai-sherpa/recursive-binding-subspace-carving-repro,m=2,Oc5d0gsRTs,4,5,False,toy,verified,verified,False
ai-sherpa/recursive-binding-subspace-carving-repro,m=2,Oc5d0gsRTs,5,5,False,verified,verified,verified,True
RyeCatcher/repro-provably-convergent-actor-critic-for-marl-through-risk-aversion,m=2,NpguYNGrG2,1,5,False,toy,toy,toy,True
RyeCatcher/repro-provably-convergent-actor-critic-for-marl-through-risk-aversion,m=2,NpguYNGrG2,2,5,False,toy,toy,toy,True
RyeCatcher/repro-provably-convergent-actor-critic-for-marl-through-risk-aversion,m=2,NpguYNGrG2,3,5,False,toy,toy,toy,True
RyeCatcher/repro-provably-convergent-actor-critic-for-marl-through-risk-aversion,m=2,NpguYNGrG2,4,5,False,inconclusive,inconclusive,toy,True
RyeCatcher/repro-provably-convergent-actor-critic-for-marl-through-risk-aversion,m=2,NpguYNGrG2,5,5,False,toy,toy,toy,True
StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,m=2,GdiPMYeFoG,1,6,False,toy,verified,toy,False
StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,m=2,GdiPMYeFoG,2,6,False,toy,verified,toy,False
StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,m=2,GdiPMYeFoG,3,6,False,verified,verified,verified,True
StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,m=2,GdiPMYeFoG,4,6,False,toy,verified,toy,False
StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,m=2,GdiPMYeFoG,5,6,False,toy,verified,toy,False
StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,m=2,GdiPMYeFoG,6,6,False,verified,verified,verified,True
abhishekkataria16/claim-bYDjZyqKxq-logbook,m=2,bYDjZyqKxq,1,6,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-bYDjZyqKxq-logbook,m=2,bYDjZyqKxq,2,6,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-bYDjZyqKxq-logbook,m=2,bYDjZyqKxq,3,6,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-bYDjZyqKxq-logbook,m=2,bYDjZyqKxq,4,6,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-bYDjZyqKxq-logbook,m=2,bYDjZyqKxq,5,6,False,inconclusive,inconclusive,inconclusive,True
abhishekkataria16/claim-bYDjZyqKxq-logbook,m=2,bYDjZyqKxq,6,6,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-c11G7lmfhm-repro,m=2,c11G7lmfhm,1,3,False,toy,toy,toy,True
Edd16/icml2026-c11G7lmfhm-repro,m=2,c11G7lmfhm,2,3,False,toy,toy,toy,True
Edd16/icml2026-c11G7lmfhm-repro,m=2,c11G7lmfhm,3,3,False,falsified,falsified,toy,True
jomasego/repro-content-style-identification-via-differential-independence,m=2,WcsBsGO6SW,1,6,False,toy,toy,toy,True
jomasego/repro-content-style-identification-via-differential-independence,m=2,WcsBsGO6SW,2,6,False,toy,toy,toy,True
jomasego/repro-content-style-identification-via-differential-independence,m=2,WcsBsGO6SW,3,6,False,toy,toy,toy,True
jomasego/repro-content-style-identification-via-differential-independence,m=2,WcsBsGO6SW,4,6,False,toy,toy,inconclusive,True
jomasego/repro-content-style-identification-via-differential-independence,m=2,WcsBsGO6SW,5,6,False,toy,toy,inconclusive,True
jomasego/repro-content-style-identification-via-differential-independence,m=2,WcsBsGO6SW,6,6,False,verified,verified,verified,True
stresearch-dev/63430,m=2,XGxBnVqK63,1,6,False,toy,falsified,toy,False
stresearch-dev/63430,m=2,XGxBnVqK63,2,6,False,toy,toy,toy,True
stresearch-dev/63430,m=2,XGxBnVqK63,3,6,False,toy,toy,toy,True
stresearch-dev/63430,m=2,XGxBnVqK63,4,6,False,inconclusive,falsified,inconclusive,False
stresearch-dev/63430,m=2,XGxBnVqK63,5,6,False,toy,toy,toy,True
stresearch-dev/63430,m=2,XGxBnVqK63,6,6,False,inconclusive,inconclusive,inconclusive,True
DineshAI/j4c3i3a5kH,m=2,j4c3i3a5kH,1,5,False,falsified,falsified,falsified,True
DineshAI/j4c3i3a5kH,m=2,j4c3i3a5kH,2,5,False,verified,verified,verified,True
DineshAI/j4c3i3a5kH,m=2,j4c3i3a5kH,3,5,False,falsified,falsified,falsified,True
DineshAI/j4c3i3a5kH,m=2,j4c3i3a5kH,4,5,False,inconclusive,inconclusive,inconclusive,True
DineshAI/j4c3i3a5kH,m=2,j4c3i3a5kH,5,5,False,verified,verified,verified,True
Edd16/icml2026-1wnPjWrw18-repro,m=2,1wnPjWrw18,1,6,False,toy,toy,toy,True
Edd16/icml2026-1wnPjWrw18-repro,m=2,1wnPjWrw18,2,6,False,toy,toy,toy,True
Edd16/icml2026-1wnPjWrw18-repro,m=2,1wnPjWrw18,3,6,False,toy,toy,toy,True
Edd16/icml2026-1wnPjWrw18-repro,m=2,1wnPjWrw18,4,6,False,toy,toy,toy,True
Edd16/icml2026-1wnPjWrw18-repro,m=2,1wnPjWrw18,5,6,False,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-1wnPjWrw18-repro,m=2,1wnPjWrw18,6,6,False,inconclusive,inconclusive,inconclusive,True
tomyimkc/repro-adaptive-bandit-algorithms-for-contextual-matching-markets,m=2,I9cWQO0BP7,1,4,False,toy,toy,toy,True
tomyimkc/repro-adaptive-bandit-algorithms-for-contextual-matching-markets,m=2,I9cWQO0BP7,2,4,False,toy,toy,toy,True
tomyimkc/repro-adaptive-bandit-algorithms-for-contextual-matching-markets,m=2,I9cWQO0BP7,3,4,False,toy,toy,toy,True
tomyimkc/repro-adaptive-bandit-algorithms-for-contextual-matching-markets,m=2,I9cWQO0BP7,4,4,False,falsified,falsified,toy,True
MarxistLeninist/repro-maspob-A5venxSvpw,m=2,A5venxSvpw,1,5,False,toy,toy,toy,True
MarxistLeninist/repro-maspob-A5venxSvpw,m=2,A5venxSvpw,2,5,False,toy,toy,toy,True
MarxistLeninist/repro-maspob-A5venxSvpw,m=2,A5venxSvpw,3,5,False,inconclusive,inconclusive,inconclusive,True
MarxistLeninist/repro-maspob-A5venxSvpw,m=2,A5venxSvpw,4,5,False,toy,toy,toy,True
MarxistLeninist/repro-maspob-A5venxSvpw,m=2,A5venxSvpw,5,5,False,inconclusive,inconclusive,inconclusive,True
tpls/repro-prism-dllm,m=2,QrC8OgQyOI,1,6,False,verified,verified,verified,True
tpls/repro-prism-dllm,m=2,QrC8OgQyOI,2,6,False,verified,verified,verified,True
tpls/repro-prism-dllm,m=2,QrC8OgQyOI,3,6,False,verified,verified,verified,True
tpls/repro-prism-dllm,m=2,QrC8OgQyOI,4,6,False,toy,toy,toy,True
tpls/repro-prism-dllm,m=2,QrC8OgQyOI,5,6,False,toy,toy,toy,True
tpls/repro-prism-dllm,m=2,QrC8OgQyOI,6,6,False,inconclusive,inconclusive,inconclusive,True
nstp/repro-gradient-descent-as-a-perceptron-algorithm-understanding-dynamics-and-implicit,m=2,3M1Nsgd9Fb,1,5,False,toy,toy,inconclusive,True
nstp/repro-gradient-descent-as-a-perceptron-algorithm-understanding-dynamics-and-implicit,m=2,3M1Nsgd9Fb,2,5,False,verified,toy,verified,False
nstp/repro-gradient-descent-as-a-perceptron-algorithm-understanding-dynamics-and-implicit,m=2,3M1Nsgd9Fb,3,5,False,verified,verified,verified,True
nstp/repro-gradient-descent-as-a-perceptron-algorithm-understanding-dynamics-and-implicit,m=2,3M1Nsgd9Fb,4,5,False,verified,verified,verified,True
nstp/repro-gradient-descent-as-a-perceptron-algorithm-understanding-dynamics-and-implicit,m=2,3M1Nsgd9Fb,5,5,False,inconclusive,inconclusive,inconclusive,True
leasonlyx/repro-any3d-vla-enhancing-vla-robustness,m=2,zyMvoKYWMZ,1,6,False,toy,toy,toy,True
leasonlyx/repro-any3d-vla-enhancing-vla-robustness,m=2,zyMvoKYWMZ,2,6,False,toy,toy,toy,True
leasonlyx/repro-any3d-vla-enhancing-vla-robustness,m=2,zyMvoKYWMZ,3,6,False,inconclusive,inconclusive,inconclusive,True
leasonlyx/repro-any3d-vla-enhancing-vla-robustness,m=2,zyMvoKYWMZ,4,6,False,inconclusive,inconclusive,inconclusive,True
