orid,sha,space_id,idx,claim,archived,rep1,rep2
iEtOxzAs51,1d17d5fa14,bsenst/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,2,"SGERA significantly outperforms state-of-the-art SSL methods in zero-shot classification, linear probing, and transfer learning tasks",toy,toy,toy
iEtOxzAs51,1d17d5fa14,bsenst/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,3,Instance-level alignment via Stein-RBF kernel and distribution-level alignment via Stein-Score kernel capture higher-order interactions,toy,toy,toy
iEtOxzAs51,1d17d5fa14,ICML-2026-agent-repro/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,1,SGERA leverages Stein kernels to provide rigorous geometric alignment in latent space for ECG representation learning,toy,toy,toy
iEtOxzAs51,1d17d5fa14,ICML-2026-agent-repro/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,2,"SGERA significantly outperforms state-of-the-art SSL methods in zero-shot classification, linear probing, and transfer learning tasks",toy,toy,toy
iEtOxzAs51,1d17d5fa14,ICML-2026-agent-repro/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,3,Instance-level alignment via Stein-RBF kernel and distribution-level alignment via Stein-Score kernel capture higher-order interactions,toy,toy,toy
IalpB5Mzaz,6b4db58ff5,bsenst/working,1,Achieves up to 48% improvement in AUPRC on nine diverse downstream tasks including daily activity and heart rate prediction.,toy,toy,toy
IalpB5Mzaz,6b4db58ff5,bsenst/working,2,"Outperforms existing EHR foundation models on healthcare, classification, and time series prediction tasks.",inconclusive,inconclusive,inconclusive
IalpB5Mzaz,6b4db58ff5,bsenst/working,3,Dual-Calendar RoPE encodes absolute and relative temporal signals for irregular observations in electronic health records.,verified,verified,verified
IalpB5Mzaz,6b4db58ff5,bsenst/Time-Conditioned-Foreseeing-An-EHR-Specific-Foundation-Model,1,Achieves up to 48% improvement in AUPRC on nine diverse downstream tasks including daily activity and heart rate prediction.,toy,toy,toy
IalpB5Mzaz,6b4db58ff5,bsenst/Time-Conditioned-Foreseeing-An-EHR-Specific-Foundation-Model,2,"Outperforms existing EHR foundation models on healthcare, classification, and time series prediction tasks.",inconclusive,inconclusive,inconclusive
IalpB5Mzaz,6b4db58ff5,bsenst/Time-Conditioned-Foreseeing-An-EHR-Specific-Foundation-Model,3,Dual-Calendar RoPE encodes absolute and relative temporal signals for irregular observations in electronic health records.,verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,1,"mmBERT is pretrained on 3 trillion tokens split across three phases: 2.3T tokens pre-training, 600B tokens mid-training for context extension, and 100B tokens in a decay phase (Section 3).",verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,2,"Cascading Annealed Language Learning expands language coverage across training phases from 60 to 110 to 1,833 languages, with temperature sampling decreasing from 0.7 to 0.5 to 0.3 (Section 3.2).",verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,3,An inverse mask ratio schedule lowers the masking rate from 30% in pre-training to 15% in mid-training to 5% in the decay phase (Section 3.3).,verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,4,"On GLUE, mmBERT Base scores 86.3 average versus 83.3 for XLM-R Base, and mmBERT Small scores 84.7 versus 78.3 for Multilingual MiniLM (Table 2).",toy,toy,toy
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,5,"On XTREME, mmBERT Base averages 72.8 versus 70.4 for XLM-R, and on MTEB Multilingual, mmBERT Base averages 54.1 versus 52.4 for XLM-R (Table 3, Table 5).",toy,toy,toy
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,6,Adding low-resource languages during the decay phase yields a 68% relative increase (12.1 absolute F1 points) on Tigray despite only 100B decay-phase tokens (Figure 2).,toy,toy,toy
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder,1,"mmBERT is pretrained on 3 trillion tokens split across three phases: 2.3T tokens pre-training, 600B tokens mid-training for context extension, and 100B tokens in a decay phase (Section 3).",verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder,2,"Cascading Annealed Language Learning expands language coverage across training phases from 60 to 110 to 1,833 languages, with temperature sampling decreasing from 0.7 to 0.5 to 0.3 (Section 3.2).",verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder,3,An inverse mask ratio schedule lowers the masking rate from 30% in pre-training to 15% in mid-training to 5% in the decay phase (Section 3.3).,verified,verified,verified
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder,4,"On GLUE, mmBERT Base scores 86.3 average versus 83.3 for XLM-R Base, and mmBERT Small scores 84.7 versus 78.3 for Multilingual MiniLM (Table 2).",toy,toy,toy
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder,5,"On XTREME, mmBERT Base averages 72.8 versus 70.4 for XLM-R, and on MTEB Multilingual, mmBERT Base averages 54.1 versus 52.4 for XLM-R (Table 3, Table 5).",toy,toy,toy
iJDJCO4mji,cf6521b3d3,arthrod/repro-mmbert-annealed-multilingual-encoder,6,Adding low-resource languages during the decay phase yields a 68% relative increase (12.1 absolute F1 points) on Tigray despite only 100B decay-phase tokens (Figure 2).,toy,toy,toy
