space_id,band,claim_idx,rep1,rep2,archived,both_present,agree
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,4,toy,toy,toy,True,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,5,toy,toy,toy,True,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,6,toy,toy,toy,True,True
divaspoudel/repro-physics-from-video-identifiability,m=2,1,verified,verified,verified,True,True
divaspoudel/repro-physics-from-video-identifiability,m=2,2,verified,verified,verified,True,True
divaspoudel/repro-physics-from-video-identifiability,m=2,3,verified,verified,verified,True,True
divaspoudel/repro-physics-from-video-identifiability,m=2,4,verified,verified,verified,True,True
divaspoudel/repro-physics-from-video-identifiability,m=2,5,toy,toy,inconclusive,True,True
imcypr/O88FCPAPAj,m=2,1,toy,toy,toy,True,True
imcypr/O88FCPAPAj,m=2,2,inconclusive,inconclusive,inconclusive,True,True
imcypr/O88FCPAPAj,m=2,3,inconclusive,inconclusive,inconclusive,True,True
imcypr/O88FCPAPAj,m=2,4,inconclusive,inconclusive,inconclusive,True,True
imcypr/O88FCPAPAj,m=2,5,inconclusive,inconclusive,inconclusive,True,True
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,1,toy,inconclusive,inconclusive,True,False
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,2,toy,toy,toy,True,True
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,3,toy,inconclusive,toy,True,False
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,4,toy,inconclusive,inconclusive,True,False
RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,m=2,5,toy,inconclusive,toy,True,False
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,1,toy,toy,inconclusive,True,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,2,toy,toy,inconclusive,True,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,3,toy,toy,inconclusive,True,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,4,toy,toy,inconclusive,True,True
RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,m=2,5,toy,toy,inconclusive,True,True
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,1,verified,verified,verified,True,True
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,2,inconclusive,toy,inconclusive,True,False
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,3,falsified,verified,verified,True,False
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,4,verified,toy,verified,True,False
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,5,falsified,falsified,falsified,True,True
SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,m=2,6,verified,verified,verified,True,True
jomasego/repro-temper-then-tilt,m=2,1,verified,verified,verified,True,True
jomasego/repro-temper-then-tilt,m=2,2,toy,toy,toy,True,True
jomasego/repro-temper-then-tilt,m=2,3,toy,toy,toy,True,True
jomasego/repro-temper-then-tilt,m=2,4,inconclusive,inconclusive,inconclusive,True,True
jomasego/repro-temper-then-tilt,m=2,5,inconclusive,verified,inconclusive,True,False
jomasego/repro-temper-then-tilt,m=2,6,inconclusive,inconclusive,inconclusive,True,True
bertfil/5PfEQzE9bf,m=2,1,inconclusive,inconclusive,inconclusive,True,True
bertfil/5PfEQzE9bf,m=2,2,inconclusive,inconclusive,inconclusive,True,True
bertfil/5PfEQzE9bf,m=2,3,toy,toy,toy,True,True
bertfil/5PfEQzE9bf,m=2,4,toy,toy,inconclusive,True,True
bertfil/5PfEQzE9bf,m=2,5,inconclusive,inconclusive,inconclusive,True,True
bertfil/5PfEQzE9bf,m=2,6,inconclusive,inconclusive,inconclusive,True,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,1,toy,toy,toy,True,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,2,toy,toy,toy,True,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,3,inconclusive,inconclusive,inconclusive,True,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,4,inconclusive,inconclusive,inconclusive,True,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,5,toy,toy,toy,True,True
Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,m=2,6,verified,verified,toy,True,True
michaldobiezynski/repro-step-size-stability-in-stochastic-optimization-a-theoretical-perspective,m=3-5,1,toy,toy,verified,True,True
michaldobiezynski/repro-step-size-stability-in-stochastic-optimization-a-theoretical-perspective,m=3-5,2,verified,verified,verified,True,True
michaldobiezynski/repro-step-size-stability-in-stochastic-optimization-a-theoretical-perspective,m=3-5,3,verified,verified,verified,True,True
michaldobiezynski/repro-step-size-stability-in-stochastic-optimization-a-theoretical-perspective,m=3-5,4,verified,verified,verified,True,True
michaldobiezynski/repro-step-size-stability-in-stochastic-optimization-a-theoretical-perspective,m=3-5,5,toy,toy,toy,True,True
tongxinb/repro-triattention-efficient-long-reasoning-with-trigonometric-kv-compression,m=3-5,1,inconclusive,inconclusive,inconclusive,True,True
tongxinb/repro-triattention-efficient-long-reasoning-with-trigonometric-kv-compression,m=3-5,2,inconclusive,inconclusive,inconclusive,True,True
tongxinb/repro-triattention-efficient-long-reasoning-with-trigonometric-kv-compression,m=3-5,3,inconclusive,inconclusive,inconclusive,True,True
tongxinb/repro-triattention-efficient-long-reasoning-with-trigonometric-kv-compression,m=3-5,4,toy,toy,toy,True,True
tongxinb/repro-triattention-efficient-long-reasoning-with-trigonometric-kv-compression,m=3-5,5,inconclusive,inconclusive,inconclusive,True,True
sotayamashita/repro-joint-learning-in-the-gaussian-single-index-model,m=3-5,1,verified,verified,verified,True,True
sotayamashita/repro-joint-learning-in-the-gaussian-single-index-model,m=3-5,2,verified,verified,verified,True,True
sotayamashita/repro-joint-learning-in-the-gaussian-single-index-model,m=3-5,3,verified,verified,verified,True,True
sotayamashita/repro-joint-learning-in-the-gaussian-single-index-model,m=3-5,4,verified,verified,verified,True,True
amkkk/generalized-linear-bandits-with-memory-repro,m=3-5,1,inconclusive,inconclusive,inconclusive,True,True
amkkk/generalized-linear-bandits-with-memory-repro,m=3-5,2,toy,toy,toy,True,True
DineshAI/w0JhOFWPJl,m=3-5,1,verified,verified,verified,True,True
DineshAI/w0JhOFWPJl,m=3-5,2,verified,verified,verified,True,True
DineshAI/w0JhOFWPJl,m=3-5,3,verified,verified,verified,True,True
DineshAI/w0JhOFWPJl,m=3-5,4,verified,verified,verified,True,True
DineshAI/w0JhOFWPJl,m=3-5,5,inconclusive,inconclusive,inconclusive,True,True
DineshAI/w0JhOFWPJl,m=3-5,6,verified,verified,verified,True,True
amkkk/repro-cost-aware-stopping-for-bayesian-optimization,m=3-5,1,toy,verified,toy,True,False
amkkk/repro-cost-aware-stopping-for-bayesian-optimization,m=3-5,2,verified,verified,toy,True,True
amkkk/repro-cost-aware-stopping-for-bayesian-optimization,m=3-5,3,verified,verified,verified,True,True
amkkk/repro-cost-aware-stopping-for-bayesian-optimization,m=3-5,4,toy,toy,toy,True,True
SabaPivot/repro-human-ai-collaborative-uncertainty-quantification,m=3-5,1,toy,verified,verified,True,False
SabaPivot/repro-human-ai-collaborative-uncertainty-quantification,m=3-5,2,toy,verified,verified,True,False
SabaPivot/repro-human-ai-collaborative-uncertainty-quantification,m=3-5,3,toy,verified,verified,True,False
SabaPivot/repro-human-ai-collaborative-uncertainty-quantification,m=3-5,4,toy,verified,verified,True,False
SabaPivot/repro-human-ai-collaborative-uncertainty-quantification,m=3-5,5,toy,verified,verified,True,False
tomyimkc/repro-probabilistic-bisection-algorithm-provably-achieves-exponential-convergence,m=3-5,1,inconclusive,verified,verified,True,False
tomyimkc/repro-probabilistic-bisection-algorithm-provably-achieves-exponential-convergence,m=3-5,2,verified,verified,verified,True,True
algorise/repro-joint-model-and-data-sparsification-via-the-marginal-likelihood,m=3-5,1,verified,verified,verified,True,True
algorise/repro-joint-model-and-data-sparsification-via-the-marginal-likelihood,m=3-5,2,falsified,verified,verified,True,False
algorise/repro-joint-model-and-data-sparsification-via-the-marginal-likelihood,m=3-5,3,falsified,falsified,falsified,True,True
algorise/repro-joint-model-and-data-sparsification-via-the-marginal-likelihood,m=3-5,4,falsified,falsified,falsified,True,True
dave1368/repro-ruleplanner-3d-floorplanning,m=3-5,1,inconclusive,inconclusive,inconclusive,True,True
dave1368/repro-ruleplanner-3d-floorplanning,m=3-5,2,toy,toy,toy,True,True
dave1368/repro-ruleplanner-3d-floorplanning,m=3-5,3,toy,toy,toy,True,True
dave1368/repro-ruleplanner-3d-floorplanning,m=3-5,4,inconclusive,inconclusive,inconclusive,True,True
dave1368/repro-ruleplanner-3d-floorplanning,m=3-5,5,toy,toy,toy,True,True
MarxistLeninist/repro-sam-hallucinate-minimizers,m=3-5,1,toy,toy,verified,True,True
MarxistLeninist/repro-sam-hallucinate-minimizers,m=3-5,2,toy,toy,verified,True,True
MarxistLeninist/repro-sam-hallucinate-minimizers,m=3-5,3,toy,toy,verified,True,True
MarxistLeninist/repro-sam-hallucinate-minimizers,m=3-5,4,inconclusive,inconclusive,inconclusive,True,True
MarxistLeninist/repro-sam-hallucinate-minimizers,m=3-5,5,inconclusive,inconclusive,inconclusive,True,True
MarxistLeninist/repro-sam-hallucinate-minimizers,m=3-5,6,toy,toy,toy,True,True
amkkk/repro-a-direct-second-order-method-for-solving-two-player-zero-sum-games,m=3-5,1,toy,toy,toy,True,True
amkkk/repro-a-direct-second-order-method-for-solving-two-player-zero-sum-games,m=3-5,2,toy,toy,toy,True,True
amkkk/repro-a-direct-second-order-method-for-solving-two-player-zero-sum-games,m=3-5,3,verified,verified,toy,True,True
amkkk/repro-a-direct-second-order-method-for-solving-two-player-zero-sum-games,m=3-5,4,toy,toy,toy,True,True
amkkk/repro-a-direct-second-order-method-for-solving-two-player-zero-sum-games,m=3-5,5,toy,toy,toy,True,True
ICML-2026-agent-repro/repro-characterizing-agents-in-production,m=3-5,1,verified,verified,inconclusive,True,True
ICML-2026-agent-repro/repro-characterizing-agents-in-production,m=3-5,2,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-characterizing-agents-in-production,m=3-5,3,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-characterizing-agents-in-production,m=3-5,4,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-characterizing-agents-in-production,m=3-5,5,verified,verified,verified,True,True
vimarsh/repro-sample-margin-aware-recalibration-of-temperature-scaling,m=3-5,1,falsified,falsified,verified,True,True
vimarsh/repro-sample-margin-aware-recalibration-of-temperature-scaling,m=3-5,2,verified,verified,verified,True,True
vimarsh/repro-sample-margin-aware-recalibration-of-temperature-scaling,m=3-5,3,falsified,falsified,falsified,True,True
vimarsh/repro-sample-margin-aware-recalibration-of-temperature-scaling,m=3-5,4,falsified,falsified,falsified,True,True
vimarsh/repro-sample-margin-aware-recalibration-of-temperature-scaling,m=3-5,5,falsified,falsified,falsified,True,True
vimarsh/repro-sample-margin-aware-recalibration-of-temperature-scaling,m=3-5,6,inconclusive,inconclusive,inconclusive,True,True
ProCreations/repro-inference-aware-meta-alignment-of-llms-via-non-linear-grpo,m=3-5,1,toy,toy,verified,True,True
ProCreations/repro-inference-aware-meta-alignment-of-llms-via-non-linear-grpo,m=3-5,2,toy,toy,verified,True,True
ProCreations/repro-inference-aware-meta-alignment-of-llms-via-non-linear-grpo,m=3-5,3,verified,verified,verified,True,True
ProCreations/repro-inference-aware-meta-alignment-of-llms-via-non-linear-grpo,m=3-5,4,verified,verified,verified,True,True
ProCreations/repro-inference-aware-meta-alignment-of-llms-via-non-linear-grpo,m=3-5,5,verified,verified,verified,True,True
ProCreations/repro-inference-aware-meta-alignment-of-llms-via-non-linear-grpo,m=3-5,6,inconclusive,inconclusive,inconclusive,True,True
rdubwiley/a-task-centric-theory-for-iterative-self-improvement-with-easy-to-hard-curricula-repro,m=6-10,1,toy,toy,toy,True,True
rdubwiley/a-task-centric-theory-for-iterative-self-improvement-with-easy-to-hard-curricula-repro,m=6-10,2,toy,toy,toy,True,True
rdubwiley/a-task-centric-theory-for-iterative-self-improvement-with-easy-to-hard-curricula-repro,m=6-10,3,toy,toy,toy,True,True
rdubwiley/a-task-centric-theory-for-iterative-self-improvement-with-easy-to-hard-curricula-repro,m=6-10,4,inconclusive,inconclusive,inconclusive,True,True
rdubwiley/a-task-centric-theory-for-iterative-self-improvement-with-easy-to-hard-curricula-repro,m=6-10,5,toy,toy,toy,True,True
DineshAI/82Wosp2Iu1,m=6-10,1,verified,verified,verified,True,True
DineshAI/82Wosp2Iu1,m=6-10,2,verified,verified,verified,True,True
DineshAI/82Wosp2Iu1,m=6-10,3,verified,verified,verified,True,True
DineshAI/82Wosp2Iu1,m=6-10,4,verified,verified,verified,True,True
DineshAI/82Wosp2Iu1,m=6-10,5,verified,verified,verified,True,True
DineshAI/82Wosp2Iu1,m=6-10,6,verified,verified,verified,True,True
sotayamashita/repro-a-short-and-unified-convergence-analysis-of-the-sag-saga-and-iag-algorithms,m=6-10,1,toy,toy,toy,True,True
sotayamashita/repro-a-short-and-unified-convergence-analysis-of-the-sag-saga-and-iag-algorithms,m=6-10,2,toy,toy,toy,True,True
sotayamashita/repro-a-short-and-unified-convergence-analysis-of-the-sag-saga-and-iag-algorithms,m=6-10,3,toy,toy,toy,True,True
sotayamashita/repro-a-short-and-unified-convergence-analysis-of-the-sag-saga-and-iag-algorithms,m=6-10,4,toy,toy,toy,True,True
sotayamashita/repro-a-short-and-unified-convergence-analysis-of-the-sag-saga-and-iag-algorithms,m=6-10,5,toy,toy,toy,True,True
michaldobiezynski/repro-convex-basins-in-single-index-model-loss-landscapes-applications-to-robust,m=6-10,1,verified,verified,verified,True,True
michaldobiezynski/repro-convex-basins-in-single-index-model-loss-landscapes-applications-to-robust,m=6-10,2,toy,toy,inconclusive,True,True
michaldobiezynski/repro-convex-basins-in-single-index-model-loss-landscapes-applications-to-robust,m=6-10,3,inconclusive,inconclusive,inconclusive,True,True
michaldobiezynski/repro-convex-basins-in-single-index-model-loss-landscapes-applications-to-robust,m=6-10,4,toy,toy,inconclusive,True,True
michaldobiezynski/repro-convex-basins-in-single-index-model-loss-landscapes-applications-to-robust,m=6-10,5,verified,verified,verified,True,True
DineshAI/TBSyYj4VV6,m=6-10,1,falsified,falsified,falsified,True,True
DineshAI/TBSyYj4VV6,m=6-10,2,inconclusive,inconclusive,inconclusive,True,True
DineshAI/TBSyYj4VV6,m=6-10,3,inconclusive,inconclusive,inconclusive,True,True
DineshAI/TBSyYj4VV6,m=6-10,4,inconclusive,inconclusive,inconclusive,True,True
DineshAI/TBSyYj4VV6,m=6-10,5,inconclusive,inconclusive,inconclusive,True,True
DineshAI/TBSyYj4VV6,m=6-10,6,inconclusive,inconclusive,inconclusive,True,True
DineshAI/wnfPEhGqic,m=6-10,1,verified,verified,verified,True,True
DineshAI/wnfPEhGqic,m=6-10,2,verified,verified,verified,True,True
DineshAI/wnfPEhGqic,m=6-10,3,verified,verified,verified,True,True
DineshAI/wnfPEhGqic,m=6-10,4,verified,verified,verified,True,True
DineshAI/wnfPEhGqic,m=6-10,5,verified,verified,verified,True,True
amkkk/repro-probabilistic-modeling-of-latent-agentic-substructures,m=6-10,1,verified,verified,verified,True,True
amkkk/repro-probabilistic-modeling-of-latent-agentic-substructures,m=6-10,2,verified,verified,verified,True,True
amkkk/repro-probabilistic-modeling-of-latent-agentic-substructures,m=6-10,3,verified,verified,verified,True,True
amkkk/repro-probabilistic-modeling-of-latent-agentic-substructures,m=6-10,4,toy,toy,verified,True,True
amkkk/repro-probabilistic-modeling-of-latent-agentic-substructures,m=6-10,5,toy,toy,verified,True,True
amkkk/repro-probabilistic-modeling-of-latent-agentic-substructures,m=6-10,6,verified,verified,verified,True,True
sabaridsnfuji/repro-rotation-invariant-spherical-watermarking-via-third-order-so-3-representation-coupli,m=6-10,1,toy,verified,verified,True,False
sabaridsnfuji/repro-rotation-invariant-spherical-watermarking-via-third-order-so-3-representation-coupli,m=6-10,2,verified,verified,verified,True,True
sabaridsnfuji/repro-rotation-invariant-spherical-watermarking-via-third-order-so-3-representation-coupli,m=6-10,3,toy,toy,toy,True,True
sabaridsnfuji/repro-rotation-invariant-spherical-watermarking-via-third-order-so-3-representation-coupli,m=6-10,4,toy,toy,toy,True,True
sabaridsnfuji/repro-rotation-invariant-spherical-watermarking-via-third-order-so-3-representation-coupli,m=6-10,5,toy,toy,toy,True,True
sabaridsnfuji/repro-rotation-invariant-spherical-watermarking-via-third-order-so-3-representation-coupli,m=6-10,6,toy,toy,toy,True,True
ProCreations/repro-keep-everyone-happy-online-fair-division-of-numerous-items-with-few-copies,m=6-10,1,verified,verified,verified,True,True
ProCreations/repro-keep-everyone-happy-online-fair-division-of-numerous-items-with-few-copies,m=6-10,2,verified,verified,verified,True,True
ProCreations/repro-keep-everyone-happy-online-fair-division-of-numerous-items-with-few-copies,m=6-10,3,verified,verified,verified,True,True
ProCreations/repro-keep-everyone-happy-online-fair-division-of-numerous-items-with-few-copies,m=6-10,4,verified,verified,verified,True,True
ProCreations/repro-keep-everyone-happy-online-fair-division-of-numerous-items-with-few-copies,m=6-10,5,verified,verified,verified,True,True
rahit/repro-stochastic-gradient-methods-under-heavy-tailed-noises-in-weakly-convex-optimization,m=6-10,1,toy,toy,verified,True,True
rahit/repro-stochastic-gradient-methods-under-heavy-tailed-noises-in-weakly-convex-optimization,m=6-10,2,toy,toy,verified,True,True
rahit/repro-stochastic-gradient-methods-under-heavy-tailed-noises-in-weakly-convex-optimization,m=6-10,3,toy,toy,verified,True,True
rahit/repro-stochastic-gradient-methods-under-heavy-tailed-noises-in-weakly-convex-optimization,m=6-10,4,verified,verified,verified,True,True
rahit/repro-stochastic-gradient-methods-under-heavy-tailed-noises-in-weakly-convex-optimization,m=6-10,5,toy,toy,verified,True,True
michaldobiezynski/repro-riemannian-dueling-optimization,m=6-10,1,verified,verified,verified,True,True
michaldobiezynski/repro-riemannian-dueling-optimization,m=6-10,2,verified,verified,verified,True,True
michaldobiezynski/repro-riemannian-dueling-optimization,m=6-10,3,verified,verified,verified,True,True
michaldobiezynski/repro-riemannian-dueling-optimization,m=6-10,4,verified,verified,verified,True,True
michaldobiezynski/repro-riemannian-dueling-optimization,m=6-10,5,toy,toy,verified,True,True
michaldobiezynski/repro-riemannian-dueling-optimization,m=6-10,6,verified,verified,verified,True,True
imadreamerboy/repro-saqnn-spectral-adaptive-quantum-neural-network-as-a-universal-approximator,m=6-10,1,toy,toy,toy,True,True
imadreamerboy/repro-saqnn-spectral-adaptive-quantum-neural-network-as-a-universal-approximator,m=6-10,2,inconclusive,inconclusive,inconclusive,True,True
imadreamerboy/repro-saqnn-spectral-adaptive-quantum-neural-network-as-a-universal-approximator,m=6-10,3,inconclusive,inconclusive,inconclusive,True,True
imadreamerboy/repro-saqnn-spectral-adaptive-quantum-neural-network-as-a-universal-approximator,m=6-10,4,inconclusive,inconclusive,inconclusive,True,True
imadreamerboy/repro-saqnn-spectral-adaptive-quantum-neural-network-as-a-universal-approximator,m=6-10,5,inconclusive,inconclusive,inconclusive,True,True
ProCreations/repro-gaussian-universality-breakdown-native,m=6-10,1,toy,toy,verified,True,True
ProCreations/repro-gaussian-universality-breakdown-native,m=6-10,2,toy,toy,verified,True,True
ProCreations/repro-gaussian-universality-breakdown-native,m=6-10,3,toy,toy,verified,True,True
ProCreations/repro-gaussian-universality-breakdown-native,m=6-10,4,toy,toy,verified,True,True
ProCreations/repro-gaussian-universality-breakdown-native,m=6-10,5,verified,verified,verified,True,True
Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,m=6-10,1,verified,toy,verified,True,False
Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,m=6-10,2,verified,toy,verified,True,False
Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,m=6-10,3,verified,toy,verified,True,False
Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,m=6-10,4,verified,toy,verified,True,False
Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,m=6-10,5,verified,toy,verified,True,False
Srishti280992/repro-diffusion-flow-matching-dimension-improved-kl-bounds-and-wasserstein-guarantees,m=6-10,6,verified,verified,verified,True,True
SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,m=6-10,1,inconclusive,inconclusive,verified,True,True
SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,m=6-10,2,inconclusive,inconclusive,verified,True,True
SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,m=6-10,3,inconclusive,inconclusive,falsified,True,True
SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,m=6-10,4,inconclusive,inconclusive,falsified,True,True
SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,m=6-10,5,inconclusive,inconclusive,verified,True,True
SabaPivot/repro-skewness-robust-causal-discovery-in-location-scale-noise-models,m=6-10,6,inconclusive,inconclusive,falsified,True,True
ProCreations/repro-on-the-provable-suboptimality-of-momentum-sgd-in-nonstationary-stochastic-optimization,m>10,1,verified,verified,verified,True,True
ProCreations/repro-on-the-provable-suboptimality-of-momentum-sgd-in-nonstationary-stochastic-optimization,m>10,2,verified,verified,verified,True,True
ProCreations/repro-on-the-provable-suboptimality-of-momentum-sgd-in-nonstationary-stochastic-optimization,m>10,3,verified,verified,verified,True,True
jbhati305/repro-mirror-descent-under-generalized-smoothness,m>10,1,toy,toy,inconclusive,True,True
jbhati305/repro-mirror-descent-under-generalized-smoothness,m>10,2,toy,toy,inconclusive,True,True
jbhati305/repro-mirror-descent-under-generalized-smoothness,m>10,3,inconclusive,inconclusive,inconclusive,True,True
jbhati305/repro-mirror-descent-under-generalized-smoothness,m>10,4,inconclusive,inconclusive,inconclusive,True,True
jbhati305/repro-mirror-descent-under-generalized-smoothness,m>10,5,toy,toy,toy,True,True
jbhati305/repro-mirror-descent-under-generalized-smoothness,m>10,6,inconclusive,inconclusive,inconclusive,True,True
algorise/repro-sharp-inequalities-between-total-variation-and-hellinger-distances-for-gaussian-mixtures,m>10,1,verified,verified,verified,True,True
algorise/repro-sharp-inequalities-between-total-variation-and-hellinger-distances-for-gaussian-mixtures,m>10,2,verified,verified,verified,True,True
algorise/repro-sharp-inequalities-between-total-variation-and-hellinger-distances-for-gaussian-mixtures,m>10,3,toy,toy,inconclusive,True,True
algorise/repro-sharp-inequalities-between-total-variation-and-hellinger-distances-for-gaussian-mixtures,m>10,4,toy,toy,toy,True,True
algorise/repro-sharp-inequalities-between-total-variation-and-hellinger-distances-for-gaussian-mixtures,m>10,5,inconclusive,inconclusive,inconclusive,True,True
amkkk/repro-prior-diffusiveness-and-regret-in-the-linear-gaussian-bandit,m>10,1,verified,verified,verified,True,True
amkkk/repro-prior-diffusiveness-and-regret-in-the-linear-gaussian-bandit,m>10,2,verified,verified,verified,True,True
amkkk/repro-prior-diffusiveness-and-regret-in-the-linear-gaussian-bandit,m>10,3,falsified,falsified,falsified,True,True
amkkk/repro-prior-diffusiveness-and-regret-in-the-linear-gaussian-bandit,m>10,4,verified,verified,verified,True,True
amkkk/repro-prior-diffusiveness-and-regret-in-the-linear-gaussian-bandit,m>10,5,toy,toy,toy,True,True
ICML-2026-agent-repro/repro-grpo-rlvr-loss-dynamics-success-amplification,m>10,1,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-grpo-rlvr-loss-dynamics-success-amplification,m>10,2,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-grpo-rlvr-loss-dynamics-success-amplification,m>10,3,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-grpo-rlvr-loss-dynamics-success-amplification,m>10,4,verified,verified,verified,True,True
ICML-2026-agent-repro/repro-grpo-rlvr-loss-dynamics-success-amplification,m>10,5,verified,verified,verified,True,True
jbhati305/repro-dropout-universality-scaling-laws-and-optimal-scheduling-at-the-edge-of-chaos,m>10,1,toy,toy,toy,True,True
jbhati305/repro-dropout-universality-scaling-laws-and-optimal-scheduling-at-the-edge-of-chaos,m>10,2,toy,toy,toy,True,True
jbhati305/repro-dropout-universality-scaling-laws-and-optimal-scheduling-at-the-edge-of-chaos,m>10,3,inconclusive,inconclusive,inconclusive,True,True
jbhati305/repro-dropout-universality-scaling-laws-and-optimal-scheduling-at-the-edge-of-chaos,m>10,4,toy,toy,toy,True,True
