arm,band,orid,space_id,sha,paper_title,inscope_claims,total_claims,judged_at
primary,m=2,5PfEQzE9bf,bertfil/5PfEQzE9bf,aef763503c99611f43d2b3f012703beb7f2f0d57,Midtraining Bridges Pretraining and Posttraining Distributions,6,6,2026-07-21T08:06:34+00:00
primary,m=2,3D0x8oxOYH,Srishti280992/repro-data-provenance-auditing-fine-tuned-llms,3452ef4b8a7205da30653d58ace9710634f63d1d,Data Provenance Auditing of Fine-Tuned Large Language Models with a Text-Preserving Technique,6,6,2026-07-23T22:06:05+00:00
primary,m=2,Yq66fTPjHn,arvkevi/bad-triangle-transversal-repro,7547909e06d2050185b61219d5ce83b932e5e2b7,Simple Algorithms for Bad Triangle Transversals with Applications to Correlation Clustering,5,5,2026-07-23T18:02:52+00:00
primary,m=2,53wE3EbrgK,algorise/repro-realista-realistic-latent-adversarial-attacks-that-elicit-llm-hallucinations,3121f5cfa30a0544bbd3ee44ddc829a2a1169485,REALISTA: Realistic Latent Adversarial Attacks that Elicit LLM Hallucinations,3,3,2026-07-29T05:57:49+00:00
primary,m=2,08tW615mgI,wrice/repro-par-protein,6fb1222db384dffb98b0b781611907d7a7e16e84,Protein Autoregressive Modeling via Multiscale Structure Generation,6,6,2026-07-31T20:48:37+00:00
primary,m=2,8WA5l5tjF6,sugan04/ICML2026_87_repro,e33eaedf4309c9c701ad4d5473ec7bcbaa477a6b,CVSearch: Empowering Multimodal LLMs with Cognitive Visual Search for High-Resolution Image Perception,4,4,2026-07-22T22:25:15+00:00
primary,m=2,Iv2xle8uSv,ProCreations/repro-infinite-dimensional-generative-diffusions-via-doob-s-h-transform,aefa0dd1b3a1e570130c8371e13fb53e2252ab22,Infinite-Dimensional Generative Diffusions via Doob’s h-Transform,5,5,2026-07-29T23:31:27+00:00
primary,m=2,f0RjWJig9V,Edd16/icml2026-f0RjWJig9V-repro,bf8a4c7182eaf8dd95b2a0c6be2d04f16e2fc3d8,SCRWKV: Ultra-Compact Structure-Calibrated Vision-RWKV for Topological Crack Segmentation,6,6,2026-08-01T13:24:59+00:00
primary,m=2,wTgx7b2D9r,ParetoOptimal/repro-frigid,b1920104d918020f5c481abf3b57eeb311502814,FRIGID: Scaling Diffusion-Based Molecular Generation from Mass Spectra at Training and Inference Time,6,6,2026-07-28T03:02:15+00:00
primary,m=2,71049,Edd16/icml2026-71049-repro,8a8e391fc9e93d1765cfdfd7642366f24b88c8d9,,5,5,2026-07-23T22:40:51+00:00
primary,m=2,vPGmYeL1rG,avithal/repro-dronedino-towards-heterogeneous-routed-mixture-of-experts-for-drone-based,62175193cca1d188ae5b05df52d360a99ef55dd8,DroneDINO: Towards Heterogeneous Routed Mixture of Experts for Drone-based Unified Object Detection,2,2,2026-07-21T03:57:05+00:00
primary,m=2,UmlXZ4t44h,rcgp/repro-both-semantics-reconstruction-matter,c623f8b9ab2dd25ea5d8284000c89e44216a1119,Both Semantics and Reconstruction Matter: Making Representation Encoders Ready for Text-to-Image Generation and Editing,5,5,2026-07-22T15:22:23+00:00
primary,m=2,fDMizWsNoG,nstp/repro-symmetry-reveals-layerwise-dynamics-how-transformers-perform-in-context-classi,6486e8dae04c131aeefe6e67d0790c4569864e90,Symmetry Reveals Layerwise Dynamics: How Transformers Perform In-Context Classification,5,5,2026-07-24T18:08:50+00:00
primary,m=2,xpIUvw8ANa,SabaPivot/repro-tensorgalerkin,c73a43a9d6d55cd72e5096734ff7ac186add3a0d,"Learning, Solving and Optimizing PDEs with TensorGalerkin: an efficient high-performance Galerkin assembly algorithm",4,4,2026-07-31T02:57:59+00:00
primary,m=2,FneePKFVHT,pranaysuyash/repro-paperbanana,96134e31d351f6c81f3a1ef98aa8206b0bbfd504,PaperBanana: Automating Academic Illustration for AI Scientists,5,5,2026-07-23T09:55:08+00:00
primary,m=2,IelAHU5MVz,nmaher/repro-from-muon-to-gluon-bridging-theory-and-practice-of-lmo-based-optimizers-for-llms,3dafc6bdf99de82077a9355609b11ac9e967c09c,From Muon to Gluon: Bridging Theory and Practice of LMO-based Optimizers for LLMs,6,6,2026-07-30T19:06:01+00:00
primary,m=2,evAFxJXcrr,abhishekkataria16/claim-evAFxJXcrr-logbook,f25972abea9d2a62d83ae201badedcb6883de228,FedSDR: Federated Self-Distillation with Rectification,5,5,2026-07-27T23:36:28+00:00
primary,m=2,a86luANykT,Edd16/icml2026-a86luANykT-repro,cb8129a4140d41560dcdeead302105322062ec5a,daVinci-Dev: Agent-native Mid-training for Software Engineering,4,4,2026-07-27T03:31:55+00:00
primary,m=2,Zuews4ULW6,rahit/repro-task-awareness-improves-llm-generations-and-uncertainty,ec8d13b602b5f1dd03e48a63071c4aa0ab45f5be,Task-Awareness Improves LLM Generations and Uncertainty,6,6,2026-07-22T00:49:48+00:00
primary,m=2,EETUbVsG6X,abhishekkataria16/claim-EETUbVsG6X-logbook,ff367c0a32e03eb316a33eac3e9474ad0c1159b0,HO-SFL: Hybrid-Order Split Federated Learning with Backprop-Free Clients and Dimension-Free Aggregation,5,5,2026-07-21T20:13:57+00:00
primary,m=2,mNOx4mKh3F,erobinson/repro-aoeb-benchmarking-agent-oriented-multimodal-embeddings,1137a087c5c0f51d90c42ffaab3653ac787e444d,AOEB: Benchmarking Agent-Oriented Multimodal Embeddings,2,2,2026-07-25T23:35:30+00:00
primary,m=2,ZEODIzlKwZ,Edd16/icml2026-ZEODIzlKwZ-repro,20201fa6d0cd1edc7db8eff9fcec1f20a0924399,Embodied-DETR: End-to-End Temporal 3D Object Detection in Egocentric Views,2,2,2026-08-01T14:09:59+00:00
primary,m=2,Oc5d0gsRTs,ai-sherpa/recursive-binding-subspace-carving-repro,ea0eecf92b407ec8117c41de34b4b55f8aeea030,Recursive Binding on a Budget: Subspace Carving in Order-$p$ Tensor Memories,5,5,2026-07-31T11:21:43+00:00
primary,m=2,NpguYNGrG2,RyeCatcher/repro-provably-convergent-actor-critic-for-marl-through-risk-aversion,d52a17fe14d1884e0b4e24f088354b918a13de4c,Provably Convergent Actor-Critic for MARL through Risk-aversion,5,5,2026-07-30T15:18:55+00:00
primary,m=2,GdiPMYeFoG,StochasticRhapsody/repro-an-analytic-theory-of-convolutional-neural-network-inverse-problems-solvers,e59bcd80b180a187b3f636962167eba3016b6b4e,An analytic theory of convolutional neural network inverse problems solvers,6,6,2026-07-23T16:05:26+00:00
primary,m=2,bYDjZyqKxq,abhishekkataria16/claim-bYDjZyqKxq-logbook,8e360cd7c77b834b6cd18f7ef56fe8ffed4750d7,MEMO: Memory-Augmented Model Context Optimization for Robust Multi-Turn Multi-Agent LLM Games,6,6,2026-07-27T22:00:03+00:00
primary,m=2,c11G7lmfhm,Edd16/icml2026-c11G7lmfhm-repro,a94dcf445c8c654ee763e534a243b05d8117e0f3,Learn to Merge: Meta-Learning for Adaptive Multi-Task Model Merging,3,3,2026-07-22T22:12:57+00:00
primary,m=2,WcsBsGO6SW,jomasego/repro-content-style-identification-via-differential-independence,80869046de797ca13f1b6fdfdb356028ef49144c,Content-Style Identification via Differential Independence,6,6,2026-07-27T19:55:21+00:00
primary,m=2,XGxBnVqK63,stresearch-dev/63430,5f2a7a1ba76112cf0f12b440780f9b66144258cf,Do Transformers Need Three Projections? Systematic Study of QKV Variants,6,6,2026-07-25T18:29:43+00:00
primary,m=2,j4c3i3a5kH,DineshAI/j4c3i3a5kH,c2ec63147309eb77ff5e352dcfbf7c2ea8f9575b,DPO Unchained: Your Training Algorithm is Secretly Disentangled in Human Choice Theory (and Its Loss' Convexity is Dispensable),5,5,2026-08-01T20:25:14+00:00
primary,m=2,1wnPjWrw18,Edd16/icml2026-1wnPjWrw18-repro,43d8f0b6a7551dabd0eab3267bc738d1069925bc,RQ-MoE: Residual Quantization via Mixture of Experts for Efficient Input-Dependent Vector Compression,6,6,2026-08-01T12:36:22+00:00
primary,m=2,I9cWQO0BP7,tomyimkc/repro-adaptive-bandit-algorithms-for-contextual-matching-markets,7d916be2ba9e695e51a7b96fa6c26478f5459712,Adaptive Bandit Algorithms for Contextual Matching Markets,4,4,2026-08-01T18:49:35+00:00
primary,m=2,A5venxSvpw,MarxistLeninist/repro-maspob-A5venxSvpw,4de121591c60dd5b50d8dc70f65e5235fc6188a5,MASPOB: Bandit-Based Prompt Optimization for Multi-Agent Systems with Graph Neural Networks,5,5,2026-07-20T14:47:18+00:00
primary,m=2,QrC8OgQyOI,tpls/repro-prism-dllm,e1abc0741fbd05ae52a9cfabbbdd6c02963c0bc6,Efficient Test-Time Scaling via Hierarchical Search and Self-Verification for Discrete Diffusion Language Models,6,6,2026-07-19T19:45:46+00:00
primary,m=2,3M1Nsgd9Fb,nstp/repro-gradient-descent-as-a-perceptron-algorithm-understanding-dynamics-and-implicit,0612f58e17bd5cb8ea04f43ee10eb672e2ffe536,Gradient Descent as a Perceptron Algorithm: Understanding Dynamics and Implicit Acceleration,5,5,2026-07-25T16:21:43+00:00
primary,m=2,ENuMNYCiV6,wrice/repro-numina-lean-agent,14d7732e49a1584cb8817304d0fda631433c7e47,"Know More, Know Clearer: A Meta-Cognitive Framework for Knowledge Augmentation in Large Language Models",5,5,2026-08-01T02:51:15+00:00
primary,m=2,zyMvoKYWMZ,leasonlyx/repro-any3d-vla-enhancing-vla-robustness,cc61c8bd465108859e638ef2eac350925378390e,Any3D-VLA: Enhancing VLA Robustness via Diverse Point Clouds,6,6,2026-07-22T23:18:16+00:00
primary,m=2,kHInw3cjCP,rdubwiley/repro-balanced-lora-removing-parameter-invariance-to-accelerate-convergence,a39463e7b4626ecec8f4a6712b16e3f9ab8ebcac,Balanced LoRA: Removing Parameter Invariance to Accelerate Convergence,6,6,2026-07-20T03:03:43+00:00
primary,m=2,6YVSHa3g4b,sisaacson/repro-regulating-anatomy-aware-rewards-via-trajectory-integral-feedback-for-volumetric-computed,8ec9298b78477385a007db9d3a2d0e474a680302,Regulating Anatomy-Aware Rewards via Trajectory-Integral Feedback for Volumetric Computed Tomography Analysis,6,6,2026-07-22T04:58:35+00:00
primary,m=2,y5GiPedJPV,AceVikings/repro-causal-discovery-for-irregularly-time-series-with-consistency-guarantees,df2dcbc8b0fe7c1baeadcb5c84cf3056552752fa,Causal Discovery for Irregularly Time Series with Consistency Guarantees,6,6,2026-07-21T01:23:26+00:00
primary,m=2,1YCpxT3t5V,Meriem-DH/repro-symbol-equivariant-recurrent-reasoning-models,ba58e59fb77adbbd8093baee2092aed5de7d9e93,Symbol-Equivariant Recurrent Reasoning Models,6,6,2026-07-26T18:58:41+00:00
primary,m=2,W34UyCRQel,Srishti280992/repro-tg-rag-reasoning-guidance,b2b41bb699fe888f500d0ba7b69c5d49ab56b7dd,TG-RAG: A Retrieval-Augmented Framework for Reasoning Guidance in Specialized Domains,2,2,2026-07-17T23:08:06+00:00
primary,m=2,73YmKB7KpW,DineshAI/73YmKB7KpW,9832e035082c1587d0d6e6b27d4922e39c27edcb,On the Identifiability of Poisson Branching Structural Causal Model Under Latent Confounding,3,3,2026-07-19T08:13:34+00:00
primary,m=2,T4Ibp5vLpE,sotayamashita/repro-a-hitchhiker-s-guide-to-poisson-gradient-estimation,66af8163e3604fca2e8ced5b8ce57c80e1390eec,A hitchhiker's guide to Poisson gradient estimation,5,5,2026-07-31T14:56:37+00:00
primary,m=2,BkMSFFtm5M,Firemedic15/repro-cve-factory-scaling-expert-level-agentic-tasks-for-code-security-vulnerability,ed9390011802cd35e250cedc71990b7a5e59855a,CVE-Factory: Scaling Expert-Level Agentic Tasks for Code Security Vulnerability,6,6,2026-07-22T00:43:45+00:00
primary,m=2,jfKliftgkl,ai-sherpa/transformers-posterior-predictive-repro,6339d5ba1eb95d033285790f849fb1106f5f62fd,Transformers Can Learn Posterior Predictive Distributions In-Context,5,5,2026-08-01T06:09:55+00:00
primary,m=2,RlEPV6ec7P,alphaXiv/repro-rationality-measurement-and-theory-for-rl-agents,1f7f700da43e8f61fd16eefc9ddc0c3517a7d66f,Rationality Measurement and Theory for Reinforcement Learning Agents,5,5,2026-07-24T14:14:55+00:00
primary,m=2,u7qkL3ryE4,rahit/repro-approximation-bounds-for-transformer-networks-with-application-to-regression,cad8c32ccac588c1b8cebf461544b4ff02e4e0dd,Approximation Bounds for Transformer Networks with Application to Regression,5,5,2026-07-24T04:34:11+00:00
primary,m=2,XFTTezxLdU,MSGEncrypted/repro-procedural-pretraining-warming-up-language-models-with-abstract-data,9a846d13fa12988d7d0e8b3f0295698644f3f5e5,Procedural Pretraining: Warming Up Language Models with Abstract Data,5,5,2026-07-23T16:42:19+00:00
primary,m=2,yE3zbIOW3e,rahit/repro-improved-scaling-laws-via-weak-to-strong-generalization-in-random-features-ridge-regressio,5df77418973439ced03af361c22c5be515182d12,Improved Scaling Laws via Weak-to-Strong Generalization in Random Features Ridge Regression,6,6,2026-07-23T11:53:32+00:00
primary,m=2,SldP4LGjdz,kondratevakate/repro-functional-decomposition-and-shapley-interactions-for-interpreting-survival-mode,752bc8e8bbb7e631a529fe6ceec481da3ca70e16,Functional Decomposition and Shapley Interactions for Interpreting Survival Models,6,6,2026-07-29T09:23:46+00:00
primary,m=2,9kWVQtpvJi,kshitijthakkar/repro-treatment-allocation-risk,96bd28de41d433e285e0c1eab401436332e3f270,Learning Treatment Allocations with Risk Control Under Partial Identifiability,5,5,2026-07-23T10:07:39+00:00
primary,m=2,suwjabuQDY,AceVikings/repro-12103-safety-notebook,c90dcdf27b4088c90609d3b8685572f03e50834b,Safety-Efficacy Trade Off: Robustness against Data-Poisoning,4,4,2026-07-21T21:33:04+00:00
primary,m=2,uG4IOdaAGk,ai-sherpa/priority-aware-shapley-value-repro,b0feab5049eab735aa2fd68b256c9e6db5f84c08,Priority-Aware Shapley Value,5,5,2026-07-29T15:49:36+00:00
primary,m=2,4fX2DEypNL,Edd16/icml2026-4fX2DEypNL-repro,c9bc88042f48f905642266e8e0840a2565e75366,A$^2$SG: Adaptive and Asymmetric Surrogate Gradients for Training Deep Spiking Neural Networks,6,6,2026-08-01T13:51:53+00:00
primary,m=2,N0qnrJEIoy,Edd16/icml2026-N0qnrJEIoy-repro,fb1fc1559950a2a998f027181e80e778beebd9bd,SABER: Continual Learning with Representation Conflict Management,3,3,2026-07-27T11:38:49+00:00
primary,m=2,YRq8IIgDMy,jomasego/repro-cameranoise,cb27f1f997e5978ebf0d8733c72f27635f78efb8,CameraNoise: Enabling Faithful Camera Control in Video Diffusion through Geometry-Flow-Guided Noise Warping,4,4,2026-08-01T16:02:14+00:00
primary,m=2,UOpsG95XqH,745H1N/repro-pruning-graphon,ebc6461dddf680408ca80e8672c6e17c9d5042ba,"Pruning at Initialisation through the lens of Graphon Limit: Convergence, Expressivity, and Generalisation",4,4,2026-07-29T11:06:26+00:00
primary,m=2,VzIA4MASxK,shayekh/repro-flashsinkhorn-io-aware-entropic-optimal-transport-on-gpu,acaf0157df5cec02c0eadc19c4564b68d9a33f18,FlashSinkhorn: IO-Aware Entropic Optimal Transport on GPU,6,6,2026-07-21T18:41:17+00:00
primary,m=2,GQ17DjsBcq,ProCreations/icml2026-repro-gq17djsbcq,8d1bcf600749022f425f8903bb08085868f7eb23,SlideSparse: Fast and Flexible (2N-2):2N Structured Sparsity,6,6,2026-08-02T00:19:10+00:00
primary,m=2,iTy1M4N2FU,tomyimkc/repro-probabilistic-performance-guarantees-for-multi-task-reinforcement-learning,fadc46640b5f630fe0546c9a25f02b0ff4d3256d,Probabilistic Performance Guarantees for Multi-Task Reinforcement Learning,5,5,2026-07-29T02:23:27+00:00
primary,m=2,0VEeF91Fm6,yugimani/repro-magicdock-toward-docking-oriented-de-novo-ligand-design-via-gradient-inversion,0a50f8a70b7190a6157a228a1da25ff3b53a4fc7,Towards Docking-oriented De Novo Ligand Design via Gradient Inversion,6,6,2026-07-24T08:57:46+00:00
primary,m=2,76XSBLdBdg,wrice/audio_denoiser,7f3c73f7f3620bbfe406fc1ddcf61dbe87dfd411,Simultaneous Speech-to-Speech Translation Without Aligned Data,6,6,2026-08-01T14:37:54+00:00
primary,m=2,FiuJVpxuSX,imadreamerboy/repro-romberg-extrapolated-zeroth-order-gradient-estimator-higher-order-bias-reduction-with-pres,ea50a735b8b3db8e74e54d9d0a834e2cd8446c18,Romberg-Extrapolated Zeroth-Order Gradient Estimator: Higher-Order Bias Reduction with Preserved Leading Directional Variance,2,2,2026-07-22T00:50:54+00:00
primary,m=2,jGRDp7Moik,kaustubh/repro-haloprobe-bayesian-detection-and-mitigation-of-object-hallucinations-in-vlms,b232dc4a7f4e2c0063cb4f76538e347f38601f5c,HaloProbe: Bayesian Detection and Mitigation of Object Hallucinations in Vision-Language Models,6,6,2026-07-24T16:34:29+00:00
primary,m=2,kKUrbW8xJ3,jomasego/repro-breaking-the-reversal-curse-in-autoregressive-language-models-via-identity-bridge,e4026f7b692c95fabdc122a90c7a271c341d16a5,Breaking the Reversal Curse in Autoregressive Language Models via Identity Bridge,6,6,2026-07-27T19:49:03+00:00
primary,m=2,aPnQpmwHW7,sugan04/ICML2026_49_repro,5bc8daf55f71f1e91743282275f0820e7521d6f2,OmniSIFT: Modality-Asymmetric Token Compression for Efficient Omni-modal Large Language Models,4,4,2026-07-22T22:29:04+00:00
primary,m=2,h4DETFu9cK,JohnDoe12321/repro-hi-time-hierarchical-latent-prediction-for-multivariate-time-series-classification,67d25fd2c69f5e4447485cc169853903c4078531,Hi-Time: Hierarchical Latent Prediction for Multivariate Time Series Classification,2,2,2026-07-24T15:30:05+00:00
primary,m=2,zouCZ6s5Zj,SabaPivot/repro-dynaschedbench-calibrated-dynamic-scheduling-benchmarks-and-observability-paradox-in-llm-b,79929301776558ae3ce8de1e01866f5a1f80e6b0,DynaSchedBench: Calibrated Dynamic Scheduling Benchmarks and Observability Paradox in LLM-based Scheduling Agents,4,4,2026-07-28T19:31:00+00:00
primary,m=2,Hw9EsvumTM,neonforestmist/repro-roca-robust-cross-domain-end-end-autonomous-driv,010ffdf471255f4513cc888577116f30a4c91cc8,RoCA: Robust Cross-Domain End-to-End Autonomous Driving,6,6,2026-07-27T20:20:13+00:00
primary,m=2,Dkwqzk5sAD,kshitijthakkar/repro-cbu-judge-reliability,d3ab075d00669f99390d5a5489587082fe507f5e,Judging What We Cannot Solve: A Consequence-Based Approach for Oracle-Free Evaluation of Research-Level Math,5,5,2026-07-21T14:17:35+00:00
primary,m=2,vmMAa2HGP9,tomyimkc/repro-gaavi-global-asymptotic-anytime-valid-inference-for-the-conditional-mean-functio,190b78120aee28407e1446c3c53f70c06f1ffbe5,GAAVI: Global Asymptotic Anytime Valid Inference for the Conditional Mean Function,5,5,2026-07-30T19:11:20+00:00
primary,m=2,GdqrQ75Gg8,amkkk/repro-desirable-effort-fairness-and-optimality-trade-offs-in-strategic-learning,fac120cdcb7b6975d080c482c696da952f187d3b,Desirable Effort Fairness and Optimality Trade-offs in Strategic Learning,6,6,2026-07-21T22:14:26+00:00
primary,m=2,p1GwEz0pix,neonforestmist/repro-frequentist-consistency-prior-data-fitted-networ,15fcbc5bcafba7c010e186607a905a9e75bc81b5,Frequentist Consistency of Prior-Data Fitted Networks for Causal Inference,6,6,2026-07-27T20:11:43+00:00
primary,m=2,wrGSN9kAVD,bertfil/wrGSN9kAVD,963e1f6096974520e74e82cc1101a87cb6c0f390,The Obfuscation Atlas: Mapping Where Honesty Emerges in RLVR with Deception Probes,5,5,2026-07-21T08:04:52+00:00
primary,m=2,J5odClCiIX,jaytau/repro-the-crowded-embedding-space-a-mean-field-mechanism-for-emergent-marginalization,1268a5f585a9e879c0eadc5618c5b25367ef3896,The Crowded Embedding Space: A Mean-Field Mechanism for Emergent Marginalization in Retrieval-Augmented Agents,1,1,2026-07-26T21:42:54+00:00
primary,m=2,tlFTFDLVD3,Edd16/icml2026-tlFTFDLVD3-repro,ee308416d0b1ae0baba2fe7f64a62946b1542005,Rethinking the Hardness of PbRL: A Provable General Regret Bound,3,3,2026-07-25T21:15:19+00:00
primary,m=2,71142,wrice/repro-wedlm-71142,7367e0039b62c3e77bad616f25723d3950dfcec6,,4,4,2026-07-29T03:19:08+00:00
primary,m=2,kpdyQ1GDRt,ProCreations/repro-the-relative-instability-of-model-comparison-with-cross-validation,87db7d25760bf2f5171a873a48160367c5927080,The Relative Instability of Model Comparison with Cross-validation,4,4,2026-07-20T11:20:30+00:00
primary,m=2,SCtGXNtk7Q,Roman81/repro-latent-reasoning-in-trms-is-secretly-a-policy-improvement-operator,8dc2ceabef2d6928ad967b0b2005159100456905,Latent Reasoning in TRMs is Secretly a Policy Improvement Operator,6,6,2026-07-27T04:50:49+00:00
primary,m=2,aaFfUg013C,Edd16/icml2026-aaFfUg013C-repro,1d1398ff43298b7f42d47e5a306bf2813a4e49d0,EPSVec: Efficient and Private Synthetic Data Generation via Dataset Vectors,5,5,2026-07-25T23:35:50+00:00
primary,m=2,7qpvff2gWI,ParetoOptimal/repro-adasplash2,7d78392d885b2084cb89e6262627dd0b617f9fef,AdaSplash-2: Faster Differentiable Sparse Attention,6,6,2026-07-29T03:53:41+00:00
primary,m=2,wOAslbdI1r,ihsanandrinal/navi-repro-2026,661f39e3f8b05524f8837160de8f6b32b78ea4ba,Segment-driven Structural Induction and Semantic Alignment for Heterogeneous Tabular Representation,6,6,2026-07-31T01:18:43+00:00
primary,m=2,4dwe2wlxx5,Firemedic15/oppo-repro-logbook,65f11156a5d9f382c231a996c50d32ead9a0839b,Omni-Perception Policy Optimization for Multimodal Emotion Reasoning,6,6,2026-07-23T18:22:36+00:00
primary,m=2,woocESr6ga,agharsallah/woocesr6ga-logbook,3715978b75bfb520d2e644ce27608174a8958dec,Depth over Fidelity in Fixed-Budget Noisy Evolution Strategies,6,6,2026-07-22T21:45:32+00:00
primary,m=2,9zXUOLxbcL,imadreamerboy/repro-chb-hardness-aware-clustering,bbdad7b0acc8565485b73a3cd4dc94dca4d3d9ec,CHB: A Diagnostic Toolkit for Hardness-Aware Clustering Evaluation,3,3,2026-07-20T00:27:52+00:00
primary,m=2,369qOr0ZnJ,AITrailblazer/repro-coopeval-social-dilemmas,e1b00387e66c0ad40750866fdb6be084648add4e,CoopEval: Benchmarking Cooperation-Sustaining Mechanisms and LLM Agents in Social Dilemmas,5,5,2026-07-29T05:39:22+00:00
primary,m=2,hUjo1XbeXc,abhishekkataria16/claim-hUjo1XbeXc-logbook,c8fa28d35d9340d8ff0372d7c968b86d85358e31,Is Code Better Than Language for Algorithmic Reasoning?,5,5,2026-07-21T22:29:25+00:00
primary,m=2,0LeyqHkrEG,Edd16/icml2026-0LeyqHkrEG-repro,cd3e6f05343e9cbde60fdb1067e423f66a11dfb5,Reliability-Aware LLM Alignment from Inconsistent Human Feedback,3,3,2026-07-22T22:14:04+00:00
primary,m=2,bgM2hmXExQ,ParetoOptimal/repro-curriculum-post-training-bgM2hmXExQ,7ccc8f8ae9cb35d11911b87224946d0b9bb18cd0,Provable Sample Efficiency of Curriculum Post-Training for Transformer Reasoning,5,5,2026-07-31T21:18:33+00:00
primary,m=2,guBK9kwmEL,LucasBeziers/repro-no-data-no-problem-robust-vision-tabular-learning-with-missing-values,c098e9492e49cf761e79ca8fa9a7ce5796145a1e,No Data? No Problem: Robust Vision-Tabular Learning with Missing Values,5,5,2026-07-24T02:51:54+00:00
primary,m=2,GdyuWMAH8P,ahmedjammoussi/gfmate-repro,8e4a328c2ed22e640529b88ff2acff98cb4969e9,GFMate: Empowering Graph Foundation Models with Test-time Prompt Tuning,6,6,2026-07-23T09:29:17+00:00
primary,m=2,BhahZSDowo,nkapila6/BhahZSDowo,d8ad1fc331cf674f775208e52f4e32d26b505b95,Benchmarking at the Edge of Comprehension,5,5,2026-07-24T14:29:15+00:00
primary,m=2,1dfBRJVswL,Jaycee766/repro-an-interactive-paradigm-for-deep-research,603031f21a112f2ed7b8fb8e657b179f84b1fc07,An Interactive Paradigm for Deep Research,6,6,2026-07-30T21:57:05+00:00
primary,m=2,1AyRuF9ULp,tbrittoborges/repro-lipopu-pocket-level-prediction-lipid-protein-pu-learning,171ad81e72fb45773c322148b5c234f0229b793c,LipoPU: Pocket-level Prediction of Lipid-Protein Interactions via Positive-Unlabeled Learning,3,3,2026-07-23T21:12:42+00:00
primary,m=2,cCFyY2LmF5,ICML-2026-agent-repro/repro-learning-to-share-selective-memory-for-efficient-parallel-agentic-systems,63f0367487f9cc4dd1ac23e8362267787df40b76,Learning to Share: Selective Memory for Efficient Parallel Agentic Systems,6,6,2026-07-31T09:31:53+00:00
